id,final_d,emp_length_int,home_ownership_cat,annual_inc,income_cat,loan_amount,term_cat,application_type_cat,purpose_cat,interest_payment_cat,loan_condition_cat,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment
3059,1122013,6,3,60000,1,6300,1,1,2,2,1,14.65,C,3.66,5554.14,3886.48,340.62,217.32
3060,1112013,7,3,60000,1,18000,2,1,6,1,1,11.71,B,16.2,12114.84,5685.04,2984.53,397.77
3061,1022014,3,1,36400,1,5000,1,1,6,1,0,8.9,A,15.99,5651.6,5000,0,158.77
3062,1122012,6.05,2,72000,1,16000,1,1,6,1,1,12.42,B,11.08,6967.17,4522.62,659.56,534.65
3063,1032012,0.5,1,24000,1,5000,1,1,10,1,0,8.9,A,9.8,5108.81,5000,0,158.77
3064,1032014,3,1,62200,1,12000,1,1,6,2,0,19.03,E,12.39,15538.11085,12000,0,440.06
3065,1102014,1,1,50000,1,12000,2,1,3,1,1,8.9,A,3.89,9262.73,6124.55,839.31,248.52
3066,1052015,10,3,76800,1,30000,2,1,7,1,0,9.91,B,27.53,37036.118760000005,30000,0,636.09
3067,1122014,1,1,41000,1,1300,1,1,6,1,0,7.9,A,9.72,1464.2613,1300,0,40.68
3068,1122014,10,3,84000,1,16000,1,1,1,1,0,6.03,A,16.73,17530.402019999998,16000,0,486.97
3069,1102013,5,3,96000,1,11250,1,1,6,2,0,17.58,D,21.95,13678.69,11250,0,404.35
3070,1122014,3,1,52800,1,7000,1,1,6,2,0,17.58,D,19.05,9054.368742,7000,0,251.6
3071,1122014,7,3,52000,1,5000,1,1,6,1,0,7.51,A,9.53,5598.72371,5000,0,155.56
3072,1122014,8,1,64000,1,8000,1,1,6,1,0,7.9,A,9.54,9010.782965999999,8000,0,250.33
3073,1022014,0.5,1,38400,1,12000,1,1,6,1,0,8.9,A,12.56,13565.58,12000,0,381.04
3074,1122014,7,1,48000,1,4000,1,1,6,1,0,6.03,A,11.2,4382.431740999999,4000,0,121.75
3075,1122014,10,3,130000,2,7000,1,1,6,1,0,9.91,B,17.22,8119.116898,7000,0,225.58
3076,1012014,10,3,70920,1,7600,1,1,6,1,0,6.03,A,3.76,8252.1,7600,0,231.32
3077,1062015,10,3,93000,1,20000,2,1,7,2,0,17.27,D,12.76,28976.995219999997,20000,0,499.96
3078,1112014,5,1,48132,1,10000,1,1,6,1,0,11.71,B,17.8,11902.94343,10000,0,330.76
3079,1122014,10,2,42000,1,8000,1,1,9,1,0,6.62,A,26.14,8841.959348999999,8000,0,245.63
3080,1032014,10,3,60000,1,12000,2,1,6,1,0,12.42,B,23.68,14698.335619999998,12000,0,269.49
3081,1042012,4,3,33000,1,16500,2,1,3,1,1,11.71,B,12.07,2003.01,824.41,548.09,364.62
3082,1012015,6.05,2,15000,1,4475,1,1,1,1,0,10.65,B,13.6,5261.898405,4475,0,145.77
3083,1012015,3,1,17000,1,5750,1,1,6,1,0,8.9,A,11.58,6587.549286,5750,0,182.59
3084,1112013,0.5,1,75000,1,14600,2,1,6,2,0,19.91,E,3.98,19033.59,14600,0,386.08
3085,1012016,7,1,75000,1,11200,2,1,4,2,0,22.06,F,22.9,15164.32,8136.2,0,309.72
3086,1042013,10,3,77000,1,4900,1,1,1,1,0,6.03,A,4.82,5051.84,4900,0,149.14
3087,1032012,7,3,127500,2,10000,1,1,7,1,0,7.51,A,5.04,10183.3,10000,0,311.11
3088,1082014,2,1,143000,2,16000,1,1,5,1,0,6.03,A,13.93,17506.23417,16000,0,486.97
3089,1102012,10,3,68400,1,25200,2,1,7,2,0,15.96,C,0.02,28363.35,25199.99,0,612.28
3090,1062012,10,1,90000,1,18650,2,1,3,2,1,21.67,F,14.19,3678.61,1095.71,613.69,511.6
3091,1122014,3,3,64000,1,12000,1,1,6,1,0,11.71,B,22.24,14286.880009999999,12000,0,396.92
3092,1122011,8,3,90000,1,3600,1,1,4,1,0,12.69,B,8.92,3638.26,3600,0,120.77
3093,1012016,8,2,48000,1,15600,2,1,8,2,0,17.58,D,21.98,19161.55,11601.98,0,392.59
3094,1092013,10,1,60000,1,15000,1,1,1,1,0,11.71,B,13.24,17309.06,14999.99,0,496.14
3095,1122011,9,3,88900,1,19200,1,1,6,2,0,14.65,C,12.63,19434.55,19200,0,662.29
3096,1122014,0.5,1,60000,1,9600,1,1,6,2,0,14.65,C,8.24,11920.80783,9600,0,331.15
3097,1042013,6,3,83625,1,13200,1,1,1,1,0,7.51,A,4.09,14259.5,13200,0,410.67
3098,1062012,0.5,2,50000,1,16000,1,1,7,1,0,7.51,A,15.46,16563.16,16000,0,497.78
3099,1012013,1,1,60000,1,12000,1,1,6,1,1,6.62,A,8.86,5522.65,4365.51,438.41,368.45
3100,1082012,10,3,93000,1,12000,2,1,6,2,1,16.77,D,19.81,3198.28,1078.01,838.12,296.75
3101,1032013,5,3,75000,1,4000,1,1,2,2,0,14.27,C,1.84,4610.04,4000,0,137.24
3102,1102012,6.05,1,40000,1,5000,1,1,6,1,1,7.9,A,19.08,3903.74,753.28,2890.4,156.46
3103,1032013,3,1,102500,2,30000,2,1,6,2,1,23.13,G,22.57,7810.5,1687.56,1632.88,847.96
3104,1042014,5,3,146000,2,35000,1,1,6,2,0,18.64,E,14.91,45274.927939999994,35000,0,1276.6
3105,1122014,7,3,46000,1,5000,1,1,6,1,0,6.62,A,11.95,5526.095936,5000,0,153.52
3106,1022014,0.5,1,60000,1,6000,1,1,5,2,0,15.96,C,21.16,7442.32,6000,0,210.83
3107,1102012,2,1,40000,1,5700,2,1,4,2,0,19.03,E,12.27,6397.4,5700.01,0,147.96
3108,1112014,0.5,1,70000,1,5000,1,1,4,1,0,11.71,B,14.21,5951.829975,5000,0,165.38
3109,1072012,10,3,45948,1,23000,2,1,3,2,1,13.49,C,2.53,4913.07,1954.13,1218.4,529.11
3110,1092013,10,3,80600,1,12000,2,1,4,2,0,16.77,D,20.5,15089.75,11999.99,0,296.75
3111,1012016,10,1,79000,1,25000,2,1,6,1,0,10.65,B,14.92,26342.65,19323.96,0,539.21
3112,1122014,1,1,57600,1,6000,1,1,6,1,0,9.91,B,7.98,6960.089148,6000,0,193.35
3113,1112014,7,1,60000,1,10000,1,1,3,1,0,7.51,A,20.32,11197.98285,10000,0,311.11
3114,1012016,10,3,150000,2,7500,2,1,4,2,0,19.03,E,4.5,9510.98,5535.68,0,194.68
3115,1122014,10,3,74346,1,7000,1,1,1,1,0,7.9,A,17.58,7884.738395,7000,0,219.04
3116,1092012,0.5,1,40992,1,10000,1,1,6,2,0,14.27,C,17.54,10971.42,10000,0,343.09
3117,1122014,5,3,52000,1,20000,1,1,6,2,0,13.49,C,20.95,24428.78866,20000,0,678.61
3118,1102014,3,3,145000,2,9600,1,1,7,1,0,7.9,A,7.42,10809.33545,9600,0,300.39
3119,1102015,2,2,58000,1,20000,2,1,7,2,0,18.25,D,16.74,29867.21074,20000,0,510.6
3120,1032013,0.5,1,47000,1,6550,1,1,6,1,0,10.65,B,18.28,7271.2,6550,0,213.36
3121,1022015,2,2,53000,1,2500,1,1,4,1,0,9.91,B,18.43,2920.4413600000003,2500,0,80.57
3122,1092014,6,3,56004,1,12000,2,1,7,2,0,19.42,E,7.2,17171.224169999998,12000,0,314.07
3123,1052012,0.5,1,13200,1,2500,1,1,4,1,1,9.91,B,15.82,528.43,304.19,126.13,80.57
3124,1012016,3,3,110000,2,30400,2,1,1,2,0,21.28,F,7.42,40528.84,22196.79,0,827.22
3125,1052013,10,2,59500,1,11300,2,1,6,1,0,12.69,B,13.37,13113.48,11300.01,0,255.33
3126,1022012,0.5,1,27840,1,8575,1,1,6,2,1,19.42,E,15.47,1104.38,357.42,472.44,316.15
3127,1092013,7,1,42494,1,16000,1,1,2,1,1,11.71,B,10.65,12130.35,8634.66,1023.63,529.22
3128,1112014,4,1,33600,1,13000,2,1,6,1,0,11.71,B,11.21,16407.909669999997,13000,0,287.28
3129,1042014,10,1,60353,1,8500,1,1,1,1,0,10.65,B,11.47,9879.443019,8500,0,276.88
3130,1102012,1,1,40000,1,6000,1,1,6,1,0,12.69,B,15.06,6565.59,6000,0,201.27
3131,1012015,8,1,65000,1,8800,1,1,6,1,0,6.03,A,7.03,9656.786005,8800,0,267.84
3132,1122014,10,3,102000,2,25000,1,1,6,1,0,11.71,B,15.55,29765.27241,25000,0,826.9
3133,1122014,10,3,32469,1,6000,1,1,2,1,0,7.51,A,29.35,6712.923852,6000,0,186.67
3134,1012012,0.5,1,95000,1,12000,1,1,4,1,0,10.65,B,1.74,12106.65,12000,0,390.88
3135,1012016,6,1,60000,1,9600,2,1,8,2,0,16.77,D,8.54,11592.7,7175.11,0,237.4
3136,1012015,6.05,2,35000,1,8300,1,1,7,1,0,7.9,A,28.15,9364.202354000001,8300,0,259.71
3137,1042013,3,1,33900,1,5500,1,1,1,2,0,17.58,D,7.61,6429.89,5500,0,197.69
3138,1092013,10,3,95000,1,35000,1,1,12,1,0,7.9,A,2.93,38590.3,35000,0,1095.16
3139,1042013,1,1,40000,1,3000,1,1,6,1,0,11.71,B,14.1,3381.45,3000,0,99.23
3140,1122014,3,1,50000,1,2500,1,1,6,2,0,13.49,C,16.58,3051.5730329999997,2500,0,84.83
3141,1052014,5,3,64000,1,12000,1,1,6,2,0,16.77,D,18.32,15186.61865,12000,0,426.47
3142,1102014,10,1,149000,2,7200,1,1,6,1,0,7.9,A,13.63,8104.823194,7200,0,225.29
3143,1102014,7,3,50000,1,2000,1,1,6,1,0,6.62,A,8.11,2209.2075760000002,2000,0,61.41
3144,1052012,6,3,70000,1,22000,1,1,6,2,0,19.91,E,18.24,23748.34,22000,0,816.6
3145,1012015,2,1,28800,1,14000,1,1,1,1,0,7.9,A,18.67,15772.569319999999,14000,0,438.07
3146,1032013,4,1,57000,1,7500,1,1,6,2,0,14.27,C,12.44,8613.1,7500,0,257.32
3147,1102014,0.5,1,82000,1,6000,1,1,6,1,0,9.91,B,11.15,6955.696725,6000,0,193.35
3148,1122012,5,1,55000,1,15000,2,1,6,2,1,19.42,E,20.68,4710.53,1961.67,12.41,392.59
3149,1102013,10,1,55000,1,22900,2,1,6,2,1,18.25,D,15.91,12361.79,5563.94,0,584.63
3150,1102013,10,3,50000,1,3500,1,1,6,1,0,6.03,A,19.94,3780.06,3500,0,106.53
3151,1122012,4,2,70000,1,35000,2,1,4,2,0,20.89,F,12.58,41895.99,35000.01,0,944.71
3152,1122014,6.05,2,12000,1,1950,1,1,4,1,0,12.69,B,20.3,2353.044625,1950,0,65.42
3153,1032013,7,3,50000,1,12000,1,1,6,1,0,6.62,A,22.42,12813.35,12000,0,368.45
3154,1122014,6,2,35000,1,5000,1,1,8,2,0,14.27,C,16.42,6171.19996,5000,0,171.55
3155,1022015,10,1,55000,1,6250,2,1,6,2,0,17.27,D,9.49,8878.916304999999,6250,0,156.24
3156,1012016,10,3,48000,1,15000,2,1,3,2,0,17.58,D,20.32,18467.09,11143.07,0,377.49
3157,1012016,10,3,173156,2,30000,2,1,6,2,0,19.91,E,9.65,38866.18,22080.63,0,793.32
3158,1122014,10,3,60000,1,7000,1,1,1,1,0,7.9,A,21.12,7884.517103,7000,0,219.04
3159,1082012,0.5,3,50000,1,2600,1,1,11,1,0,6.03,A,21.34,2679.46,2600,0,79.14
3160,1082013,10,3,150000,2,14000,1,1,6,1,0,6.62,A,9.42,15161.99,14000,0,429.86
3161,1122014,6,3,192000,2,15000,1,1,3,2,0,14.27,C,11.58,18522.71126,15000,0,514.64
3162,1122014,10,3,90000,1,14300,1,1,1,1,0,6.03,A,29.72,15667.903999999999,14300,0,435.23
3163,1122013,4,2,52000,1,15600,2,1,5,2,0,15.96,C,10.22,19651.02,15600,0,379.04
3164,1012016,10,3,45000,1,19000,2,1,6,2,0,16.77,D,23.25,22981.04,14219.17,0,469.86
3165,1102013,5,3,126000,2,6000,1,1,7,1,1,10.65,B,14.33,4652,3433.82,357.16,195.44
3166,1122014,9,1,31200,1,3000,1,1,4,1,0,12.42,B,15.04,3607.83519,3000,0,100.25
3167,1102014,0.5,1,34000,1,3500,1,1,6,1,0,12.69,B,15.78,4221.381267,3500,0,117.41
3168,1092014,1,1,15600,1,2250,1,1,6,2,0,18.25,D,21.69,2927.111984,2250,0,81.63
3169,1062012,10,3,70000,1,8400,2,1,3,1,0,11.71,B,1.49,8876.14,8400,0,185.63
3170,1092014,6.05,1,36000,1,5000,1,1,11,1,0,9.91,B,22.3,5791.775583,5000,0,161.13
3171,1122015,8,3,46000,1,16000,2,1,6,2,0,18.64,E,22.46,20141.98,11846.21,0,411.89
3172,1062014,7,3,100500,2,27575,2,1,6,2,0,14.65,C,23.73,35796.85557,27575,0,650.96
3173,1072013,2,1,150000,2,14000,1,1,6,1,1,7.9,A,7.66,8319.53,6973.3,0,438.07
3174,1112013,0.5,3,191000,2,35000,2,1,12,2,1,20.3,E,17.72,25126.3,9482.39,3686.85,933.14
3175,1112015,10,2,69996,1,30000,2,1,6,2,0,20.3,E,16.66,46922.47199,30000.01,0,799.84
3176,1122014,10,3,72000,1,5000,1,1,2,1,0,6.03,A,17.82,5478.186893,5000,0,152.18
3177,1022012,10,3,153000,2,7500,1,1,6,1,0,11.71,B,10.72,7644.69,7500,0,248.07
3178,1122014,10,1,10000,1,3000,1,1,9,1,0,7.9,A,2.76,3379.066157,3000,0,93.88
3179,1122014,6,3,70000,1,9000,1,1,6,2,0,18.64,E,6.91,11815.93851,9000,0,328.27
3180,1072014,8,1,48000,1,24000,2,1,7,1,0,11.71,B,9.8,29774.313169999998,24000,0,530.36
3181,1122015,7,3,60000,1,13000,2,1,6,2,0,14.65,C,12.3,15035.27,9857.83,0,306.89
3182,1052014,2,1,36000,1,5500,1,1,6,1,0,10.65,B,12.87,6382.680253,5500,0,179.16
3183,1082013,0.5,1,30000,1,3500,1,1,6,1,1,11.71,B,9.36,4098.55,1788.54,1788.75,115.77
3184,1012014,2,3,131000,2,35000,2,1,7,1,0,12.69,B,6.35,43028.92,35000,0,790.82
3185,1012013,4,1,95000,1,24000,1,1,6,1,0,8.9,A,24.85,25965.77,24000,0,762.08
3186,1092013,10,1,150000,2,21000,2,1,5,2,1,17.58,D,9.22,13333.83,5177.35,2238.49,528.48
3187,1042013,4,3,75000,1,13200,2,1,1,2,1,14.27,C,18.34,4942.18,2651.44,17.7,309
3188,1122014,1,3,130000,2,30000,1,1,1,1,0,9.91,B,8.16,34799.91173,30000,0,966.75
3189,1102012,2,1,73200,1,12000,1,1,6,1,0,8.9,A,3.31,12820.02,12000,0,381.04
3190,1122014,6,1,50794,1,5000,1,1,6,1,0,6.62,A,26.79,5525.845241,5000,0,153.52
3191,1092014,2,1,54000,1,6850,2,1,6,2,1,19.03,E,6.47,6430.34,2958.14,586.53,177.81
3192,1122014,10,3,60000,1,12000,1,1,6,1,0,7.9,A,6.6,13516.62234,12000,0,375.49
3193,1032013,5,1,75000,1,15000,2,1,6,2,0,20.3,E,15.78,18511.29,15000,0,399.92
3194,1012014,8,1,75000,1,20000,2,1,1,2,1,15.27,C,16.85,13432.51,6200.04,1947.18,478.64
3195,1022012,6,1,50000,1,5000,1,1,6,2,1,16.77,D,13.03,354.62,216.68,0,177.7
3196,1122015,9,3,150000,2,35000,2,1,7,1,0,12.42,B,10.38,38498.11,26857.92,0,786.01
3197,1082012,6,3,48000,1,1500,1,1,7,1,0,8.9,A,7.53,1590.06,1500,0,47.63
3198,1052014,10,3,60000,1,12000,2,1,6,2,1,14.27,C,10.58,7865.48,4544.13,0,280.91
3199,1082012,10,1,51000,1,21000,2,1,6,2,1,17.58,D,13.91,4226.51,1847.86,0,528.48
3200,1102014,10,3,100000,1,6000,1,1,6,1,0,8.9,A,9.34,6853.259647,6000,0,190.52
3201,1102014,9,3,97500,1,35000,2,1,12,2,1,17.27,D,16.52,32471.77,16128.4,2727.98,874.93
3202,1122013,8,3,60000,1,12400,2,1,7,2,0,15.27,C,17.06,15629.89,12400,0,296.76
3203,1072014,7,3,110000,2,30000,1,1,6,1,0,9.91,B,23.64,34682.15019,30000,0,966.75
3204,1012013,10,3,90216,1,1200,1,1,7,2,1,14.27,C,15.7,730.63,373.54,198.67,41.18
3205,1082013,10,2,47000,1,7000,1,1,4,1,0,7.51,A,17.87,7660.57,7000,0,217.78
3206,1012013,3,1,70000,1,5600,1,1,1,1,0,7.9,A,5.23,6006.18,5600,0,175.23
3207,1112013,2,3,80000,1,4200,1,1,11,2,0,14.27,C,7.65,5038.98,4200,0,144.1
3208,1122014,1,2,35000,1,7000,1,1,7,2,0,16.29,D,20.4,8894.237295,7000,0,247.11
3209,1122014,6.05,3,120000,2,25000,1,1,6,1,0,12.69,B,10.93,30185.63785,25000,0,838.63
3210,1012015,10,3,80000,1,8500,1,1,2,1,0,6.03,A,10.77,9327.901821,8500,0,258.71
3211,1012014,3,3,67000,1,3000,1,1,1,1,0,7.9,A,22.03,3332.8,3000,0,93.88
3212,1122014,4,1,15120,1,1600,1,1,6,1,0,7.51,A,23.89,1790.977255,1600,0,49.78
3213,1112012,2,3,75000,1,35000,2,1,6,2,1,19.03,E,16.94,10974.1,2933.26,1842.26,908.5
3214,1122014,3,1,11000,1,3400,1,1,8,1,0,12.69,B,4.36,4103.261273,3400,0,114.06
3215,1012014,3,1,31000,1,10000,1,1,8,2,1,19.42,E,13.94,9737.07,6308.26,525.57,368.69
3216,1122014,10,3,66000,1,10000,1,1,7,1,0,6.62,A,19.67,11052.19447,10000,0,307.04
3217,1082014,3,3,50000,1,3500,1,1,8,2,1,16.29,D,0,4019,3019.28,69.4,123.56
3218,1012014,5,1,62000,1,24000,2,1,6,2,1,19.42,E,18.46,17538.82,6947.68,2464.47,628.14
3219,1122014,2,1,95000,1,35000,1,1,1,1,0,7.9,A,15.33,39423.28125,35000,0,1095.16
3220,1112012,2,1,60000,1,14000,1,1,8,1,0,12.69,B,13.98,15433.11,14000,0,469.63
3221,1122013,10,3,65196,1,9600,2,1,6,2,0,14.27,C,9.35,11935.9,9600,0,224.73
3222,1042014,6,1,40000,1,15000,1,1,4,1,0,11.71,B,15.54,17688.18871,15000,0,496.14
3223,1012014,0.5,3,91000,1,1000,1,1,6,1,0,11.71,B,13.4,1173.11,1000,0,33.08
3224,1082013,10,3,94000,1,4000,1,1,8,1,0,6.62,A,0.7,4341.33,4000,0,122.82
3225,1042014,7,2,63440,1,20000,1,1,1,1,0,8.9,A,26.69,22695.3773,20000,0,635.07
3226,1122014,8,3,90000,1,14000,1,1,7,1,0,7.9,A,18.28,15769.54715,14000,0,438.07
3227,1032012,9,3,400000,3,15000,1,1,6,1,0,6.03,A,2.84,15290.24,15000,0,456.54
3228,1052013,2,3,63240,1,20000,2,1,6,1,1,11.71,B,22.22,8827.34,4820.9,888.26,441.97
3229,1082012,6.05,1,31200,1,15000,1,1,4,1,0,6.62,A,9.04,15602.76,15000,0,460.56
3230,1122015,4,1,73000,1,23000,2,1,6,2,0,14.27,C,21.14,26346.23,17459.29,0,538.4
3231,1012013,5,3,34600,1,6800,1,1,9,1,0,12.69,B,18.1,7599.38,6800,0,228.11
3232,1122015,1,3,115000,2,30000,2,1,6,1,0,11.71,B,12.27,32459.71,23101.62,0,662.95
3233,1062015,6,1,42000,1,26375,2,1,6,2,0,19.42,E,18.17,39779.36973,26375,0,690.3
3234,1122014,5,1,80000,1,6400,1,1,6,1,0,11.71,B,5.95,7616.993642,6400,0,211.69
3235,1052014,1,1,90000,1,10200,1,1,6,1,0,8.9,A,5.48,11592.54371,10200,0,323.89
3236,1122014,10,3,125000,2,30000,1,1,6,1,0,7.51,A,10.16,33597.22457,30000,0,933.33
3237,1122015,10,3,60000,1,12000,2,1,1,1,0,8.9,A,9.6,12126.18,9347.93,0,248.52
3238,1092014,10,3,100000,1,12000,2,1,2,2,0,17.27,D,12.46,15541.34097,12000,0,299.98
3239,1122015,10,3,70000,1,15000,2,1,6,2,0,17.27,D,14.83,18326.01,11185.95,0,374.97
3240,1062015,10,1,136000,2,15000,2,1,6,2,0,16.77,D,16.28,21459.15192,15000,0,370.94
3241,1112013,2,1,65000,1,8000,1,1,6,1,0,7.51,A,4.21,8821.46,8000,0,248.89
3242,1122015,10,3,80000,1,19000,2,1,1,1,0,9.91,B,15.21,19738.52,14779.88,0,402.86
3243,1122014,6,3,31200,1,9250,1,1,6,1,0,7.9,A,7.54,10418.58949,9250,0,289.44
3244,1032015,10,3,68000,1,35000,2,1,6,1,0,11.71,B,28.78,44983.47782,35000,0,773.44
3245,1072013,8,3,180396,2,18000,1,1,8,1,0,12.69,B,6.21,20817.34,18000,0,603.81
3246,1122015,3,1,37000,1,4600,2,1,6,2,0,17.27,D,24.23,5626.36,3434.05,0,115
3247,1122014,6,3,40000,1,5400,1,1,6,1,0,12.42,B,22.92,6493.5035100000005,5400,0,180.45
3248,1052012,2,3,60000,1,14400,2,1,6,2,1,15.27,C,16.3,1720.66,822.46,8.46,344.62
3249,1122015,8,1,56004,1,3000,2,1,4,2,0,15.27,C,4.5,3501.73,2258.52,0,71.8
3250,1082012,10,1,36000,1,1450,1,1,6,1,0,12.42,B,21.53,1571.96,1450,0,48.46
3251,1082014,3,1,24000,1,12000,2,1,4,2,1,18.25,D,7.45,10537.42,4772.55,1040.26,306.36
3252,1052013,3,1,80000,1,7200,1,1,1,1,0,8.9,A,3.54,7775.01,7200,0,228.63
3253,1122015,2,1,38400,1,6000,2,1,4,2,0,19.03,E,20.47,7602.59,4425.77,0,155.75
3254,1102013,4,3,90000,1,12000,2,1,6,1,0,12.69,B,15.35,14490.42,12000,0,271.14
3255,1082013,3,3,76800,1,6000,1,1,2,1,0,6.62,A,10.34,6512.85,6000,0,184.23
3256,1122014,7,3,82000,1,8000,1,1,7,2,0,19.42,E,20.05,10615.978790000001,8000,0,294.95
3257,1122015,6,3,48000,1,12600,2,1,7,1,0,7.9,A,6.4,12451.59,9876.37,0,254.88
3258,1122014,5,1,70500,1,35000,1,1,6,1,0,8.9,A,22.09,40007.83027,35000,0,1111.37
3259,1062014,0.5,1,130000,2,8400,1,1,10,1,0,7.51,A,16.45,9372.670004000001,8400,0,261.34
3260,1122014,8,3,57000,1,11425,1,1,6,1,0,9.91,B,19.47,13251.67421,11425,0,368.18
3261,1122015,10,3,52000,1,20000,2,1,6,1,0,10.65,B,29.63,21093.93,15469.91,0,431.37
3262,1062014,10,3,80000,1,16000,1,1,6,1,0,12.42,B,23.91,19131.057119999998,16000,0,534.65
3263,1122015,10,3,76320,1,24000,2,1,6,2,0,14.27,C,22.28,27478.47,18210.8,0,561.81
3264,1072013,6.05,1,40800,1,2700,1,1,6,1,1,11.71,B,22.24,1799.04,1298.19,80.25,89.31
3265,1102012,10,3,112000,2,20400,1,1,6,1,0,11.71,B,22.46,22326.02,20400,0,674.75
3266,1122014,2,1,56000,1,3000,1,1,6,1,0,12.69,B,8.19,3619.0277920000003,3000,0,100.64
3267,1012016,2,1,145000,2,35000,2,1,6,2,0,22.06,F,12.94,47414.34,25434.76,0,967.86
3268,1122014,2,1,30000,1,6000,1,1,1,1,0,12.42,B,11.68,7215.271320999999,6000,0,200.5
3269,1102013,6,1,31000,1,6000,1,1,6,1,0,6.03,A,14.09,6480.03,6000,0,182.62
3270,1072014,0.5,1,36000,1,3000,1,1,4,1,0,11.71,B,17.67,3560.3457409999996,3000,0,99.23
3271,1122014,6,1,26785,1,9000,1,1,9,1,0,7.9,A,5.6,10138.40105,9000,0,281.62
3272,1122015,6,3,95000,1,15000,2,1,6,2,0,14.27,C,13.72,17168.65,11378.6,0,351.13
3273,1082014,3,1,24960,1,5000,1,1,6,1,0,6.62,A,17.26,5520.278179999999,5000,0,153.52
3274,1122015,0.5,1,60000,1,8000,2,1,6,2,0,16.77,D,21.02,9690.84,5996.19,0,197.84
3275,1052013,9,3,56000,1,7200,1,1,9,1,0,6.03,A,1.2,7604.5,7200,0,219.14
3276,1032013,10,1,121000,2,20000,1,1,6,1,0,8.9,A,12.62,21832.94,20000,0,635.07
3277,1082014,10,3,109200,2,2300,1,1,4,1,0,7.9,A,12.76,2587.261854,2300,0,71.97
3278,1122015,8,3,50000,1,14400,2,1,6,2,0,15.27,C,23.14,16820.77,10847,0,344.62
3279,1122015,10,3,120000,2,35000,2,1,6,2,0,21.28,F,8.12,46664.14,25556.58,0,952.39
3280,1102012,0.5,1,15000,1,4375,1,1,6,1,0,12.69,B,15.84,4786.43,4375,0,146.76
3281,1082013,3,1,48529,1,10000,2,1,1,2,0,21.67,F,4.62,13378.48,10000,0,274.32
3282,1102014,10,3,134000,2,5600,1,1,6,1,0,7.9,A,24.47,6304.412129,5600,0,175.23
3283,1122014,10,3,72000,1,5000,1,1,11,1,0,12.69,B,7.75,6034.82655,5000,0,167.73
3284,1102013,5,1,110000,2,6000,1,1,6,1,0,8.9,A,19.54,6733.53,6000,0,190.52
3285,1122014,8,1,55000,1,8000,1,1,6,1,0,11.71,B,11.63,9519.200484,8000,0,264.61
3286,1012016,10,3,116000,2,12000,2,1,7,2,1,15.96,C,8.86,13947.29,8749.1,0,291.57
3287,1082014,2,3,70000,1,5000,1,1,6,1,0,6.03,A,16.13,5473.313383,5000,0,152.18
3288,1122014,2,3,280000,3,35000,2,1,8,1,0,11.71,B,7.87,44311.02415,35000,0,773.44
3289,1072014,1,1,45000,1,2800,1,1,6,2,0,13.49,C,13.08,3401.8940909999997,2800,0,95.01
3290,1122014,8,3,106000,2,15000,1,1,12,2,0,15.96,C,4.32,18964.802969999997,15000,0,527.06
3291,1122014,8,3,21000,1,3500,1,1,6,2,0,17.27,D,21.77,4507.349537,3500,0,125.26
3292,1072014,10,3,80000,1,20000,2,1,6,1,0,12.42,B,6.36,25231.27953,20000,0,449.15
3293,1052012,10,3,90000,1,14000,1,1,6,1,1,9.91,B,9.65,2299.69,1647.42,0,451.15
3294,1102012,7,1,85000,1,11200,1,1,6,1,0,9.91,B,26.87,12022.54,11200,0,360.92
3295,1012016,6.05,3,116000,2,20000,2,1,4,2,0,19.42,E,14.46,25626.91,14754.07,0,523.45
3296,1012013,6,3,76000,1,14000,1,1,6,1,0,12.69,B,7.33,15747.95,14000,0,469.63
3297,1102013,8,1,21624,1,6000,2,1,4,1,1,8.9,A,23.75,3299.03,1882.18,588.63,124.26
3298,1072012,6.05,3,60000,1,4000,1,1,6,1,0,9.91,B,22.24,4241.68,4000,0,128.9
3299,1122015,10,3,117961,2,24925,2,1,1,2,0,17.27,D,23.2,30475.3,18599.66,0,623.08
3300,1032012,2,1,120000,2,5000,1,1,9,1,0,6.03,A,0.25,5065.93,5000,0,152.18
3301,1122014,6,3,75000,1,3500,1,1,8,1,0,6.03,A,23.09,3834.799744,3500,0,106.53
3302,1032013,10,1,98450,1,2700,1,1,4,2,0,13.49,C,14.55,3097.82,2700,0,91.62
3303,1022013,7,1,47712,1,12800,2,1,6,2,1,18.64,E,16.8,4940.98,2180.53,16.18,329.51
3304,1122015,4,1,34008,1,14400,2,1,6,2,0,17.27,D,11.75,17595.01,10739.96,0,359.98
3305,1122014,2,1,54000,1,7800,1,1,1,1,0,7.9,A,6.47,8785.638584999999,7800,0,244.07
3306,1122014,3,3,53500,1,10000,1,1,1,1,0,9.91,B,13.91,11599.6899,10000,0,322.25
3307,1092014,9,1,121440,2,5600,1,1,5,2,0,17.58,D,11.59,7236.28446,5600,0,201.28
3308,1012012,6.05,1,37517,1,5000,1,1,6,1,1,9.91,B,17.85,586.98,240.46,265,161.13
3309,1122015,10,3,120000,2,35000,2,1,12,2,0,22.74,G,24,48076.74,25331.52,0,981.45
3310,1122014,10,1,60000,1,3200,1,1,4,1,0,11.71,B,17.1,3809.6218700000004,3200,0,105.85
3311,1102013,1,3,93000,1,12000,1,1,7,1,0,6.62,A,6.88,12967.13,12000,0,368.45
